filled_paraphrased_canonical	masked_sparql_query
Улица Крымский Вал река и сколько лет месту где она есть? 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:period_country ?x0 . }
Длина водоема вокрук Городское поселение Хотьково?	select distinct ?x0 where { SUBJ_1 dr:wash ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Кем является сестра Маллен Родни ?	select distinct ?x0 where { ?x0 dr:sibling OBJ_1 . }
Какова  протяженность границы у страны, где расположены Невер?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Сколько плотность населения страны, гражданкой которой является Ники Хилтон?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:population_density ?x0 . }
Каков внешний вид логотипа продукта, выпускаемого компанией Guano Apes?	select ?x0 where { SUBJ_1 dr:company_products ?dummy . ?dummy dr:company_logo ?x0 . }
Какая минимальная плотность населения в месте, где сейчас живёт Татьяна Николаевна Савичева?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:population_density ?x0 . }
Какое создание было в Франция 	select distinct ?x0 where { ?x0 wdt:p495 OBJ_1 . }
Место нахождения Русланова Лидия Андреевна,какая суммарная площадь города 	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:area ?x0 . }
Ронни Джеймс Дио чьи кумиры? 	select distinct ?x0 where { ?x0 dr:influenced_by OBJ_1 . }
Человек, который открыл Бадьяновое масло, какое носит настоящее полное имя?	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:real_full_name ?x0 . }
Каков средний срок существования страны, входящей в Конституция Казахстана?	select ?x0 where { SUBJ_1 dr:parts_alliance ?dummy . ?dummy dr:period_country ?x0 . }
какая средняя высота над уровнем моря у места, где расположен Туркменабад?	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:elevation ?x0 . }
Состоит ли в настоящее время в браке директор Миротворец?	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Как ещё называется химический элемент, названный в честь Порто Ново?	select ?x0 where { SUBJ_1 dr:element_by_named_after ?dummy . ?dummy dr:alias ?x0 . }
Сколько у основателя Церковь Вознесения Господня в Коломенском в данный момент детей?	select ?x0 where { SUBJ_1 dr:person_foundation ?dummy . ?dummy dr:child_count ?x0 . }
Сумма лет умершего человека, которым был вдохновлён Тарабаринов Леонид Семенович – это сколько лет?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
какова суммарная площадь родины Сергей Абрамович Ауслендер?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
когда умер человек который основал Международный аэропорт Иркутск?	select ?x0 where { SUBJ_1 dr:person_foundation ?dummy . ?dummy dr:death_date ?x0 . }
Чему обязан своим названием химический элемент Андростан?	select distinct ?x0 where { ?x0 dr:element_by_named_after OBJ_1 . }
Какое количество соседних государств у страны, столицей которой является Дедилово?	select ?x0 where { SUBJ_1 dr:iscapitalof ?dummy . ?dummy dr:numberneighboringcountries ?x0 . }
Когда основан город, являющийся родиной Плавт?	select ?x0 where { SUBJ_1 dr:native_city ?dummy . ?dummy dr:date_foundation ?x0 . }
Чье производство в Китайская Республика Тайвань?	select distinct ?x0 where { ?x0 wdt:p495 OBJ_1 . }
Кто мать Коркмасов Джелал эд Дин Асельдерович?	select distinct ?x0 where { SUBJ_1 dr:mother ?x0 . }
Какая общая глубина водоема, где располагается остров Приднестровская Молдавская Республика? 	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
в компании Verizon Communications в среднем сколько работает человек?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Капампанияя которая владеет Intel Core i5, сколько у нее логотипов	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Каково общее число имен у персонажа, с которым в данный момент живёт Леди Джессика?	select count ( distinct ?x0 ) where { SUBJ_1 dr:residence ?dummy . ?dummy dr:name ?x0 . }
Как долго женат человек, чьим творчеством был вдохновлён Неклюдов Сергей Юрьевич?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
Сейчас родитель Андерсен Ларисса Николаевна имеет вторую половинку?	select ?x0 where { SUBJ_1 dr:parent ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
из первооткрывателей Второе народное ополчение кто был самый старый	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:death_age ?x0 . }
Сколько составляет площадь страны, гражданином которой был Джонни Гринвуд?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:area ?x0 . }
Какова плотность населения в месте, где расположен СССР?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
Средняя плотность населения в месте, где расположен Приднестровская Молдавская Республика?	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:population_density ?x0 . }
год создания  компании-владельца Уральские пельмени	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_inception_date ?x0 . }
Расстояние границ Бесконечная шутка в книге	select ?x0 where { SUBJ_1 dr:place_of_origin ?dummy . ?dummy dr:border_length ?x0 . }
Как много детей у директора компании Интер? 	select ?x0 where { SUBJ_1 dr:company_director ?dummy . ?dummy dr:child_count ?x0 . }
В каком  альянсе сейчас состоит Подземная Великая китайская стена?	select distinct ?x0 where { ?x0 dr:parts_alliance OBJ_1 . }
